261,null,1675016999298,1675016999737,429,0,1
207,null,1675016998984,1675016999723,200,827,null
211,committees,1675016999008,1675016999726,200,822,null
262,actions,1675016999313,1675016999749,429,0,1
202,actions,1675016998963,1675016999743,200,825,null
262,null,1675016999313,1675016999757,429,0,1
263,null,1675016999329,1675016999758,429,0,1
262,committees,1675016999314,1675016999759,429,0,1
263,committees,1675016999331,1675016999760,429,0,1
263,actions,1675016999330,1675016999760,429,0,1
209,null,1675016998996,1675016999748,200,824,null
206,null,1675016998980,1675016999761,200,823,null
264,committees,1675016999349,1675016999781,429,0,1
228,actions,1675016999089,1675016999789,429,0,1
264,null,1675016999348,1675016999790,429,0,1
226,actions,1675016999073,1675016999791,429,0,1
264,actions,1675016999349,1675016999793,429,0,1
223,committees,1675016999060,1675016999795,429,0,1
224,committees,1675016999064,1675016999795,429,0,1
224,null,1675016999062,1675016999797,429,0,1
210,committees,1675016999001,1675016999781,200,820,null
266,null,1675016999385,1675016999802,429,0,1
226,null,1675016999072,1675016999804,429,0,1
267,actions,1675016999397,1675016999810,429,0,1
266,actions,1675016999386,1675016999820,429,0,1
267,committees,1675016999397,1675016999821,429,0,1
265,null,1675016999363,1675016999823,429,0,1
265,actions,1675016999364,1675016999824,429,0,1
266,committees,1675016999386,1675016999825,429,0,1
265,committees,1675016999365,1675016999827,429,0,1
211,actions,1675016999007,1675016999808,200,823,null
212,actions,1675016999012,1675016999809,200,819,null
267,null,1675016999396,1675016999835,429,0,1
268,null,1675016999406,1675016999836,429,0,1
268,actions,1675016999407,1675016999838,429,0,1
269,actions,1675016999417,1675016999842,429,0,1
268,committees,1675016999407,1675016999842,429,0,1
220,committees,1675016999049,1675016999822,200,812,null
205,null,1675016998976,1675016999822,200,822,null
215,actions,1675016999030,1675016999824,200,817,null
214,committees,1675016999026,1675016999825,200,815,null
217,null,1675016999039,1675016999826,200,819,null
270,null,1675016999428,1675016999849,429,0,1
270,actions,1675016999428,1675016999854,429,0,1
272,null,1675016999444,1675016999854,429,0,1
269,null,1675016999416,1675016999855,429,0,1
269,committees,1675016999417,1675016999855,429,0,1
270,committees,1675016999428,1675016999855,429,0,1
271,actions,1675016999437,1675016999856,429,0,1
271,committees,1675016999438,1675016999856,429,0,1
215,null,1675016999030,1675016999839,200,821,null
219,committees,1675016999046,1675016999840,200,815,null
272,committees,1675016999445,1675016999862,429,0,1
271,null,1675016999436,1675016999863,429,0,1
272,actions,1675016999444,1675016999864,429,0,1
218,committees,1675016999043,1675016999853,200,817,null
216,committees,1675016999035,1675016999854,200,818,null
221,committees,1675016999053,1675016999857,200,814,null
217,actions,1675016999039,1675016999858,200,819,null
274,null,1675016999455,1675016999875,429,0,1
274,actions,1675016999455,1675016999877,429,0,1
273,actions,1675016999450,1675016999877,429,0,1
273,committees,1675016999450,1675016999878,429,0,1
210,null,1675016999000,1675016999863,200,822,null
273,null,1675016999449,1675016999881,429,0,1
274,committees,1675016999456,1675016999881,429,0,1
214,null,1675016999024,1675016999880,200,820,null
225,committees,1675016999068,1675016999880,200,812,null
222,actions,1675016999056,1675016999881,200,813,null
213,actions,1675016999018,1675016999882,200,818,null
213,null,1675016999016,1675016999882,200,819,null
214,actions,1675016999026,1675016999883,200,815,null
277,actions,1675016999476,1675016999895,429,0,1
278,null,1675016999490,1675016999898,429,0,1
276,committees,1675016999467,1675016999899,429,0,1
277,committees,1675016999477,1675016999901,429,0,1
277,null,1675016999475,1675016999901,429,0,1
276,null,1675016999466,1675016999901,429,0,1
275,actions,1675016999461,1675016999902,429,0,1
275,committees,1675016999461,1675016999903,429,0,1
218,actions,1675016999042,1675016999904,200,816,null
219,actions,1675016999046,1675016999908,200,814,null
279,null,1675016999503,1675016999910,429,0,1
216,null,1675016999033,1675016999910,200,816,null
